Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	170.91
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 03:16:19
End Time:	February 08, 2024, 03:19:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		1
13		0
14		0
15		0
16		0
17		0
18		2
19		8
20		4
21		2
22		0
23		1
24		2
25		0
26		2
27		3
28		2
29		2
30		1
31		4
32		5
33		0
34		0
35		1
36		1
37		1
38		1
39		4
40		1
41		1
42		1
43		0
44		2
45		4
46		1
47		2
48		4
49		1
50		1
51		1
52		1
53		1
54		1
55		3
56		1
57		0
58		2
59		0
60		2
61		1
62		0
63		0
64		1
65		0
66		0
67		1
68		2
69		1
70		1
71		2
72		3
73		1
74		2
75		1
76		0
77		2
78		0
79		1
80		2
81		1
82		1
83		0
84		1
85		1
86		1
87		1
88		1
89		1
90		3
91		2
92		3
93		2
94		5
95		0
96		2
97		3
98		3
99		6
100		3
101		4
102		3
103		10
104		5
105		7
106		4
107		5
108		6
109		5
110		2
111		4
112		6
113		5
114		7
115		6
116		5
117		7
118		10
119		6
120		12
121		7
122		7
123		3
124		10
125		6
126		6
127		4
128		7
129		7
130		6
131		5
132		5
133		12
134		4
135		6
136		4
137		11
138		10
139		4
140		12
141		3
142		6
143		7
144		9
145		4
146		5
147		4
148		3
149		6
150		8
151		7
152		7
153		12
154		8
155		7
156		7
157		2
158		5
159		4
160		7
161		8
162		2
163		8
164		8
165		5
166		5
167		8
168		8
169		3
170		6
171		3
172		4
173		5
174		2
175		5
176		3
177		3
178		7
179		7
180		6
181		4
182		5
183		5
184		3
185		5
186		2
187		7
188		2
189		3
190		5
191		3
192		3
193		4
194		6
195		3
196		3
197		4
198		4
199		4
200		1
201		4
202		1
203		5
204		0
205		6
206		2
207		4
208		4
209		3
210		3
211		5
212		6
213		3
214		6
215		8
216		5
217		7
218		4
219		6
220		11
221		8
222		8
223		11
224		16
225		8
226		15
227		10
228		9
229		9
230		9
231		14
232		6
233		7
234		11
235		12
236		12
237		10
238		7
239		11
240		20
241		6
242		18
243		17
244		9
245		28
246		16
247		20
248		12
249		15
250		11
251		20
252		15
253		16
254		26
255		20
256		27
257		24
258		18
259		17
260		24
261		19
262		28
263		20
264		26
265		40
266		37
267		37
268		34
269		42
270		28
271		30
272		50
273		38
274		48
275		46
276		73
277		62
278		58
279		66
280		63
281		101
282		84
283		87
284		97
285		93
286		108
287		118
288		114
289		105
290		123
291		121
292		143
293		127
294		148
295		152
296		164
297		169
298		185
299		175
300		182
301		201
302		178
303		179
304		209
305		202
306		192
307		221
308		241
309		207
310		222
311		199
312		232
313		228
314		257
315		242
316		240
317		219
318		227
319		206
320		217
321		194
322		210
323		189
324		203
325		206
326		195
327		190
328		189
329		192
330		177
331		202
332		163
333		181
334		177
335		130
336		164
337		162
338		162
339		142
340		157
341		154
342		152
343		145
344		130
345		122
346		121
347		142
348		120
349		131
350		119
351		98
352		122
353		86
354		99
355		102
356		93
357		95
358		101
359		90
360		95
361		88
362		84
363		82
364		73
365		85
366		84
367		65
368		65
369		83
370		61
371		67
372		59
373		59
374		67
375		63
376		80
377		60
378		52
379		60
380		70
381		65
382		44
383		47
384		45
385		44
386		55
387		37
388		56
389		44
390		45
391		65
392		32
393		47
394		60
395		47
396		42
397		66
398		35
399		36
400		37
401		45
402		40
403		33
404		48
405		56
406		47
407		47
408		48
409		50
410		39
411		45
412		44
413		41
414		45
415		42
416		47
417		46
418		53
419		44
420		48
421		42
422		45
423		42
424		39
425		45
426		33
427		46
428		42
429		41
430		48
431		56
432		36
433		46
434		48
435		32
436		40
437		48
438		49
439		31
440		42
441		40
442		47
443		38
444		44
445		29
446		41
447		40
448		33
449		30
450		45
451		47
452		32
453		35
454		41
455		48
456		35
457		34
458		32
459		38
460		36
461		31
462		37
463		37
464		31
465		27
466		32
467		39
468		41
469		38
470		37
