Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	441.0
Elapsed Live Time:	433.0
Start Time:
End Time:
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		4
14		2
15		3
16		2
17		0
18		2
19		55
20		41
21		24
22		31
23		34
24		36
25		39
26		31
27		33
28		31
29		26
30		27
31		33
32		33
33		29
34		21
35		26
36		26
37		30
38		29
39		27
40		35
41		30
42		32
43		33
44		37
45		29
46		45
47		22
48		20
49		20
50		34
51		25
52		21
53		24
54		16
55		20
56		25
57		29
58		38
59		25
60		19
61		28
62		21
63		23
64		17
65		24
66		26
67		27
68		17
69		22
70		24
71		19
72		21
73		23
74		27
75		23
76		22
77		20
78		22
79		18
80		22
81		26
82		22
83		29
84		28
85		28
86		30
87		19
88		31
89		29
90		22
91		25
92		22
93		24
94		25
95		18
96		23
97		27
98		20
99		17
100		19
101		25
102		25
103		28
104		24
105		15
106		19
107		25
108		18
109		23
110		25
111		16
112		21
113		13
114		20
115		21
116		17
117		27
118		20
119		17
120		25
121		21
122		23
123		20
124		17
125		28
126		18
127		18
128		26
129		24
130		22
131		28
132		22
133		24
134		26
135		25
136		14
137		9
138		27
139		23
140		22
141		24
142		24
143		31
144		20
145		27
146		22
147		18
148		22
149		20
150		25
151		19
152		23
153		23
154		19
155		26
156		19
157		14
158		17
159		24
160		16
161		26
162		18
163		23
164		15
165		27
166		21
167		19
168		26
169		25
170		18
171		18
172		16
173		22
174		19
175		34
176		25
177		24
178		21
179		24
180		25
181		25
182		24
183		28
184		23
185		26
186		37
187		26
188		25
189		22
190		37
191		37
192		33
193		23
194		28
195		28
196		30
197		27
198		34
199		27
200		21
201		35
202		41
203		32
204		29
205		37
206		29
207		34
208		40
209		40
210		47
211		39
212		24
213		34
214		49
215		41
216		50
217		54
218		31
219		54
220		45
221		45
222		51
223		40
224		54
225		47
226		55
227		61
228		64
229		54
230		63
231		88
232		78
233		74
234		64
235		82
236		62
237		65
238		76
239		76
240		73
241		70
242		79
243		63
244		81
245		77
246		76
247		71
248		69
249		70
250		67
251		75
252		65
253		54
254		66
255		89
256		76
257		81
258		72
259		75
260		72
261		66
262		55
263		66
264		65
265		61
266		49
267		44
268		49
269		56
270		61
271		51
272		46
273		43
274		43
275		50
276		54
277		46
278		56
279		45
280		33
281		44
282		38
283		46
284		57
285		46
286		36
287		41
288		42
289		50
290		44
291		31
292		48
293		41
294		37
295		40
296		50
297		32
298		34
299		31
300		33
301		38
302		56
303		49
304		35
305		34
306		27
307		28
308		30
309		36
310		40
311		25
312		42
313		35
314		35
315		40
316		34
317		36
318		33
319		35
320		39
321		46
322		36
323		40
324		40
325		28
326		44
327		34
328		29
329		25
330		38
331		35
332		30
333		24
334		26
335		33
336		31
337		29
338		32
339		34
340		31
341		36
342		29
343		26
344		27
345		36
346		30
347		26
348		25
349		26
350		25
351		29
352		43
353		38
354		27
355		35
356		29
357		33
358		30
359		23
360		37
361		32
362		37
363		33
364		38
365		25
366		30
367		35
368		26
369		41
370		32
371		38
372		35
373		35
374		35
375		33
376		37
377		28
378		33
379		36
380		39
381		34
382		24
383		31
384		35
385		30
386		34
387		33
388		21
389		25
390		40
391		29
392		44
393		43
394		35
395		29
396		35
397		33
398		34
399		28
400		30
401		32
402		31
403		34
404		28
405		32
406		31
407		42
408		38
409		41
410		30
411		28
412		24
413		46
414		32
415		34
416		43
417		33
418		28
419		36
420		33
421		34
422		41
423		40
424		38
425		44
426		33
427		26
428		30
429		27
430		35
431		38
432		35
433		35
434		33
435		36
436		34
437		26
438		22
439		32
440		25
441		36
442		30
443		42
444		34
445		28
446		38
447		25
448		34
449		49
450		27
451		31
452		41
453		28
454		36
455		31
456		49
457		43
458		34
459		36
460		63
461		70
462		62
463		52
464		61
465		50
466		45
467		63
468		69
469		68
470		66
471		56
472		61
473		78
474		66
475		70
476		83
477		77
478		76
