Angle; Net Count; Live Time
60; 2460; 60
56.5; 3151; 60
53; 4822; 52
51.5; 5069; 44
50; 5088; 39;
49.5; 5081; 37
49; 5113; 33
48.5; 5096; 30
48; 5178; 26
47.5; 5215; 24
47; 5171; 23
46.5; 5088; 20
46; 5131; 16
45.5; 5306; 5
45; 13675; 1
44.5; 26043;1
44; 7344; 6
43.5; 5140; 13
43; 5161; 15
42.5; 5180; 15
42; 5159; 14
41.5; 5275; 14
41; 6958; 10
40.5; 15857; 4
40; 17285; 4
39.5; 5322; 8
39; 5211; 14
38.5; 5370; 14
37; 5191; 13
35.5; 6170; 12
34; 5213; 9
32.5; 5269; 8
31; 6520; 9
29.5; 5387; 7
28; 5931; 8
26.5; 6004; 8
25; 6696; 9
23.5; 5869; 8
22; 5855; 8
20.5; 6089; 9
19; 6404; 10
17.5; 5441; 12
16; 5058; 22
14.5; 5971; 38
13; 1892; 52




