Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	179.29
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 05:20:28
End Time:	February 08, 2024, 05:23:28
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		2
13		4
14		14
15		63
16		4
17		2
18		191
19		1270
20		100
21		20
22		18
23		23
24		27
25		18
26		24
27		16
28		15
29		23
30		23
31		15
32		16
33		17
34		20
35		12
36		25
37		21
38		13
39		21
40		31
41		20
42		22
43		28
44		24
45		18
46		18
47		13
48		14
49		20
50		19
51		25
52		21
53		37
54		27
55		24
56		24
57		27
58		26
59		24
60		25
61		27
62		31
63		32
64		37
65		30
66		29
67		35
68		55
69		56
70		51
71		60
72		64
73		56
74		74
75		90
76		91
77		88
78		82
79		100
80		108
81		126
82		106
83		125
84		137
85		157
86		151
87		127
88		148
89		146
90		176
91		149
92		171
93		181
94		180
95		172
96		153
97		171
98		189
99		151
100		180
101		185
102		164
103		165
104		164
105		155
106		141
107		158
108		141
109		122
110		117
111		126
112		118
113		134
114		113
115		90
116		79
117		93
118		92
119		81
120		94
121		56
122		84
123		81
124		60
125		64
126		68
127		65
128		61
129		55
130		59
131		46
132		58
133		52
134		49
135		52
136		43
137		39
138		51
139		45
140		59
141		48
142		44
143		43
144		35
145		33
146		28
147		27
148		38
149		37
150		38
151		36
152		38
153		35
154		45
155		33
156		33
157		32
158		31
159		20
160		41
161		29
162		34
163		41
164		38
165		29
166		29
167		34
168		45
169		29
170		32
171		30
172		38
173		26
174		33
175		23
176		26
177		24
178		32
179		35
180		30
181		32
182		34
183		28
184		36
185		29
186		49
187		35
188		24
189		46
190		32
191		51
192		38
193		40
194		45
195		41
196		39
197		55
198		50
199		72
200		69
201		77
202		75
203		107
204		97
205		126
206		134
207		149
208		176
209		200
210		245
211		263
212		289
213		330
214		368
215		459
216		530
217		555
218		681
219		714
220		839
221		920
222		1055
223		1068
224		1258
225		1384
226		1507
227		1715
228		1837
229		1992
230		2169
231		2420
232		2495
233		2661
234		2817
235		3090
236		3325
237		3431
238		3663
239		3857
240		4080
241		4223
242		4259
243		4494
244		4765
245		4784
246		4859
247		5028
248		5229
249		5050
250		5230
251		5418
252		5398
253		5489
254		5507
255		5489
256		5547
257		5587
258		5503
259		5393
260		5302
261		5377
262		5297
263		5084
264		5144
265		5070
266		4957
267		4710
268		4713
269		4501
270		4550
271		4310
272		4262
273		4152
274		4050
275		3930
276		3698
277		3638
278		3432
279		3264
280		3149
281		3012
282		2948
283		2760
284		2739
285		2620
286		2535
287		2485
288		2173
289		2184
290		2025
291		2000
292		1921
293		1742
294		1704
295		1646
296		1460
297		1357
298		1362
299		1330
300		1237
301		1143
302		1032
303		1027
304		978
305		910
306		904
307		812
308		812
309		721
310		689
311		649
312		639
313		580
314		528
315		523
316		507
317		466
318		395
319		426
320		396
321		364
322		363
323		323
324		286
325		304
326		236
327		247
328		221
329		210
330		224
331		187
332		226
333		167
334		160
335		164
336		157
337		149
338		125
339		128
340		118
341		109
342		121
343		92
344		107
345		116
346		84
347		116
348		88
349		92
350		86
351		77
352		74
353		73
354		80
355		63
356		67
357		70
358		77
359		74
360		65
361		71
362		80
363		79
364		73
365		78
366		66
367		68
368		81
369		57
370		58
371		68
372		67
373		62
374		88
375		61
376		55
377		66
378		61
379		66
380		66
381		76
382		61
383		90
384		56
385		89
386		68
387		86
388		84
389		75
390		61
391		76
392		67
393		75
394		80
395		54
396		59
397		74
398		75
399		72
400		60
401		70
402		77
403		75
404		74
405		67
406		78
407		73
408		63
409		93
410		72
411		82
412		71
413		65
414		81
415		74
416		85
417		80
418		73
419		75
420		101
421		71
422		83
423		82
424		88
425		85
426		78
427		103
428		87
429		108
430		86
431		79
432		78
433		82
434		72
435		75
436		80
437		72
438		95
439		93
440		89
441		67
442		86
443		93
444		95
445		92
446		99
447		85
448		99
449		103
