Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	174.61
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 04:57:02
End Time:	February 08, 2024, 04:59:57
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		1
15		3
16		1
17		0
18		48
19		273
20		29
21		30
22		17
23		36
24		29
25		30
26		35
27		24
28		36
29		43
30		38
31		28
32		33
33		48
34		39
35		45
36		49
37		44
38		57
39		47
40		44
41		52
42		48
43		45
44		52
45		55
46		45
47		41
48		55
49		44
50		37
51		21
52		39
53		37
54		23
55		27
56		26
57		27
58		34
59		29
60		22
61		20
62		19
63		20
64		17
65		8
66		19
67		16
68		19
69		14
70		17
71		21
72		14
73		10
74		6
75		13
76		8
77		7
78		19
79		11
80		8
81		10
82		10
83		10
84		17
85		9
86		8
87		5
88		10
89		8
90		9
91		9
92		9
93		6
94		13
95		11
96		10
97		13
98		13
99		15
100		9
101		16
102		13
103		13
104		13
105		8
106		12
107		18
108		10
109		17
110		9
111		13
112		21
113		19
114		17
115		14
116		15
117		11
118		15
119		12
120		15
121		17
122		15
123		9
124		11
125		15
126		11
127		14
128		15
129		19
130		23
131		24
132		11
133		14
134		18
135		19
136		12
137		18
138		24
139		27
140		10
141		9
142		22
143		20
144		13
145		21
146		22
147		15
148		15
149		16
150		18
151		16
152		14
153		17
154		16
155		20
156		34
157		25
158		25
159		36
160		44
161		56
162		48
163		56
164		55
165		76
166		72
167		79
168		78
169		116
170		127
171		167
172		171
173		181
174		193
175		236
176		289
177		312
178		334
179		382
180		428
181		468
182		482
183		537
184		615
185		638
186		732
187		743
188		828
189		817
190		921
191		933
192		937
193		1133
194		1071
195		1145
196		1108
197		1171
198		1179
199		1230
200		1277
201		1298
202		1295
203		1329
204		1259
205		1229
206		1287
207		1261
208		1234
209		1237
210		1211
211		1219
212		1193
213		1135
214		1071
215		1008
216		1072
217		1037
218		890
219		917
220		896
221		823
222		767
223		790
224		710
225		680
226		619
227		603
228		540
229		524
230		510
231		438
232		438
233		383
234		388
235		342
236		328
237		296
238		286
239		270
240		253
241		230
242		199
243		200
244		188
245		171
246		148
247		136
248		122
249		124
250		104
251		99
252		107
253		84
254		89
255		90
256		87
257		85
258		74
259		67
260		88
261		90
262		87
263		65
264		95
265		91
266		101
267		96
268		108
269		106
270		99
271		117
272		128
273		129
274		148
275		158
276		141
277		157
278		148
279		151
280		161
281		188
282		198
283		207
284		213
285		242
286		208
287		222
288		232
289		254
290		243
291		245
292		267
293		299
294		292
295		282
296		290
297		284
298		303
299		307
300		292
301		295
302		294
303		352
304		316
305		308
306		319
307		303
308		308
309		311
310		284
311		331
312		342
313		299
314		317
315		325
316		352
317		321
318		351
319		273
320		306
321		288
322		322
323		298
324		301
325		309
326		264
327		237
328		245
329		257
330		245
331		249
332		247
333		218
334		189
335		233
336		230
337		217
338		221
339		234
340		208
341		186
342		195
343		166
344		187
345		194
346		187
347		176
348		176
349		160
350		149
351		161
352		134
353		131
354		138
355		150
356		128
357		130
358		142
359		121
360		118
361		132
362		133
363		122
364		111
365		106
366		104
367		111
368		112
369		109
370		100
371		98
372		93
373		85
374		91
375		111
376		82
377		87
378		104
379		108
380		99
381		105
382		87
383		79
384		84
385		93
386		97
387		108
388		87
389		94
390		87
391		102
392		90
393		100
394		92
395		93
396		83
397		99
398		95
399		88
400		96
401		96
402		89
403		97
404		94
405		107
406		83
407		90
408		97
409		81
410		114
411		83
412		104
413		96
414		87
415		95
416		113
417		116
418		107
419		91
420		98
421		98
422		100
423		92
424		89
425		113
426		103
427		124
428		98
429		103
430		104
431		135
432		113
433		111
434		116
435		89
436		105
437		125
438		115
439		115
440		122
441		119
442		117
443		123
444		109
445		97
446		116
447		117
448		120
449		120
450		121
451		109
452		120
453		138
454		119
455		123
456		124
457		122
458		100
459		114
460		113
461		139
462		129
463		119
464		139
