Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	177.06
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 05:10:06
End Time:	February 08, 2024, 05:13:03
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		2
13		3
14		2
15		29
16		3
17		1
18		38
19		654
20		78
21		6
22		13
23		4
24		9
25		7
26		4
27		5
28		9
29		9
30		10
31		10
32		4
33		14
34		12
35		10
36		5
37		10
38		3
39		7
40		8
41		7
42		10
43		7
44		11
45		5
46		4
47		10
48		6
49		17
50		11
51		9
52		9
53		4
54		10
55		7
56		6
57		10
58		8
59		16
60		7
61		9
62		3
63		9
64		8
65		8
66		10
67		8
68		8
69		11
70		4
71		7
72		7
73		8
74		5
75		12
76		9
77		5
78		5
79		8
80		9
81		10
82		11
83		7
84		6
85		11
86		6
87		10
88		5
89		7
90		12
91		16
92		11
93		16
94		9
95		13
96		12
97		15
98		14
99		15
100		10
101		14
102		14
103		18
104		19
105		20
106		17
107		19
108		17
109		22
110		28
111		21
112		27
113		35
114		25
115		34
116		32
117		46
118		30
119		35
120		40
121		52
122		39
123		58
124		47
125		43
126		56
127		61
128		67
129		71
130		49
131		58
132		62
133		70
134		84
135		72
136		78
137		71
138		77
139		84
140		79
141		72
142		91
143		89
144		72
145		77
146		66
147		70
148		61
149		71
150		78
151		69
152		71
153		50
154		74
155		48
156		70
157		64
158		46
159		55
160		71
161		52
162		50
163		46
164		45
165		50
166		35
167		44
168		37
169		32
170		36
171		37
172		37
173		42
174		34
175		29
176		35
177		36
178		33
179		34
180		29
181		32
182		27
183		24
184		29
185		23
186		26
187		25
188		27
189		22
190		27
191		22
192		21
193		25
194		17
195		13
196		17
197		26
198		22
199		21
200		25
201		18
202		20
203		20
204		16
205		22
206		22
207		21
208		20
209		26
210		19
211		23
212		16
213		22
214		23
215		14
216		26
217		24
218		18
219		25
220		24
221		35
222		27
223		27
224		23
225		32
226		33
227		28
228		29
229		25
230		36
231		33
232		43
233		24
234		32
235		29
236		49
237		44
238		44
239		45
240		52
241		52
242		56
243		57
244		72
245		77
246		76
247		90
248		97
249		84
250		119
251		132
252		148
253		189
254		196
255		184
256		221
257		269
258		257
259		290
260		363
261		407
262		478
263		494
264		586
265		634
266		666
267		698
268		727
269		822
270		929
271		966
272		1012
273		1125
274		1255
275		1298
276		1347
277		1477
278		1611
279		1601
280		1771
281		1797
282		1895
283		1953
284		2035
285		2091
286		2175
287		2305
288		2411
289		2447
290		2461
291		2470
292		2673
293		2629
294		2611
295		2698
296		2737
297		2759
298		2782
299		2766
300		2814
301		2766
302		2792
303		2666
304		2721
305		2740
306		2733
307		2746
308		2670
309		2613
310		2456
311		2494
312		2566
313		2409
314		2450
315		2412
316		2373
317		2244
318		2233
319		2083
320		2146
321		1995
322		1977
323		1913
324		1896
325		1807
326		1707
327		1691
328		1620
329		1515
330		1448
331		1464
332		1400
333		1386
334		1221
335		1270
336		1137
337		1131
338		1126
339		1042
340		1015
341		1028
342		929
343		855
344		814
345		790
346		790
347		703
348		651
349		683
350		565
351		556
352		575
353		534
354		457
355		457
356		443
357		423
358		397
359		373
360		348
361		349
362		326
363		316
364		279
365		262
366		254
367		226
368		203
369		203
370		199
371		203
372		172
373		169
374		181
375		163
376		169
377		140
378		160
379		131
380		156
381		136
382		135
383		125
384		106
385		106
386		105
387		88
388		92
389		81
390		92
391		80
392		83
393		85
394		83
395		66
396		82
397		75
398		76
399		77
400		83
401		71
402		91
403		90
404		73
405		72
406		84
407		89
408		61
409		89
410		67
411		63
412		75
413		64
414		69
415		67
416		68
417		71
418		69
419		52
420		89
421		71
422		63
423		79
424		70
425		87
426		74
427		78
428		88
429		74
430		78
431		73
432		80
433		92
434		91
435		77
436		75
437		78
438		93
439		82
440		88
441		95
442		85
443		76
444		81
445		81
446		80
447		87
448		91
449		86
450		81
451		76
452		99
453		97
