Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	177.87
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 04:19:56
End Time:	February 08, 2024, 04:22:53
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		2
13		6
14		13
15		37
16		6
17		0
18		178
19		844
20		35
21		18
22		17
23		27
24		20
25		19
26		10
27		16
28		23
29		32
30		25
31		20
32		24
33		25
34		15
35		17
36		14
37		28
38		25
39		29
40		29
41		24
42		39
43		32
44		27
45		35
46		39
47		62
48		42
49		49
50		60
51		53
52		61
53		53
54		61
55		63
56		80
57		81
58		104
59		103
60		102
61		111
62		105
63		132
64		130
65		120
66		130
67		149
68		128
69		157
70		145
71		156
72		157
73		156
74		147
75		170
76		162
77		149
78		147
79		166
80		175
81		189
82		148
83		174
84		135
85		163
86		120
87		111
88		118
89		120
90		129
91		125
92		101
93		91
94		83
95		100
96		85
97		87
98		75
99		86
100		63
101		69
102		69
103		61
104		63
105		46
106		62
107		64
108		46
109		39
110		42
111		52
112		41
113		51
114		49
115		41
116		35
117		35
118		37
119		40
120		45
121		27
122		37
123		31
124		43
125		29
126		26
127		33
128		26
129		23
130		24
131		33
132		35
133		26
134		27
135		26
136		23
137		22
138		29
139		26
140		32
141		22
142		29
143		28
144		29
145		29
146		34
147		27
148		20
149		33
150		25
151		19
152		35
153		30
154		17
155		27
156		26
157		34
158		27
159		27
160		37
161		32
162		25
163		22
164		23
165		19
166		37
167		32
168		29
169		44
170		28
171		38
172		41
173		45
174		31
175		33
176		42
177		29
178		37
179		34
180		44
181		59
182		53
183		45
184		59
185		75
186		74
187		81
188		97
189		130
190		142
191		115
192		142
193		205
194		222
195		265
196		276
197		360
198		393
199		434
200		495
201		594
202		637
203		716
204		801
205		940
206		1045
207		1122
208		1309
209		1405
210		1489
211		1699
212		1814
213		2031
214		2227
215		2382
216		2517
217		2553
218		2934
219		2987
220		3249
221		3356
222		3476
223		3566
224		3824
225		3934
226		4244
227		4389
228		4409
229		4420
230		4556
231		4763
232		4710
233		4744
234		4882
235		4791
236		4926
237		4899
238		4806
239		4895
240		4830
241		4757
242		4759
243		4589
244		4676
245		4422
246		4376
247		4217
248		4179
249		4062
250		3924
251		3725
252		3580
253		3444
254		3495
255		3262
256		3176
257		3038
258		2813
259		2847
260		2707
261		2612
262		2381
263		2279
264		2173
265		2073
266		2090
267		1833
268		1827
269		1649
270		1604
271		1481
272		1479
273		1435
274		1272
275		1261
276		1199
277		1064
278		1027
279		954
280		886
281		817
282		851
283		765
284		711
285		690
286		677
287		655
288		555
289		591
290		484
291		512
292		472
293		441
294		408
295		395
296		375
297		420
298		338
299		353
300		329
301		301
302		280
303		303
304		274
305		276
306		296
307		239
308		248
309		232
310		225
311		217
312		201
313		187
314		200
315		200
316		166
317		182
318		166
319		153
320		160
321		167
322		157
323		152
324		143
325		135
326		134
327		132
328		122
329		138
330		128
331		137
332		111
333		124
334		120
335		137
336		102
337		103
338		86
339		100
340		111
341		91
342		84
343		81
344		90
345		67
346		92
347		68
348		81
349		79
350		78
351		72
352		90
353		71
354		68
355		71
356		79
357		74
358		77
359		62
360		55
361		61
362		82
363		75
364		55
365		57
366		64
367		64
368		72
369		65
370		78
371		75
372		79
373		79
374		56
375		63
376		64
377		72
378		58
379		58
380		56
381		68
382		61
383		67
384		67
385		59
386		58
387		67
388		79
389		68
390		70
391		53
392		88
393		79
394		61
395		70
396		52
397		78
398		51
399		75
400		75
401		69
402		57
403		58
404		66
405		59
406		83
407		84
408		75
409		70
410		59
411		70
412		67
413		73
414		74
415		66
416		68
417		63
418		77
419		77
420		68
421		85
422		90
423		84
424		83
425		84
426		86
427		82
428		95
429		81
430		81
431		83
432		95
433		85
434		80
435		68
436		92
437		71
438		111
439		76
440		97
441		87
442		87
443		77
444		76
445		109
446		82
447		95
448		87
449		111
450		94
451		105
452		100
