Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	175.2
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 04:46:58
End Time:	February 08, 2024, 04:49:53
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		1
13		5
14		1
15		7
16		3
17		0
18		65
19		397
20		35
21		18
22		21
23		15
24		14
25		8
26		14
27		18
28		11
29		11
30		17
31		16
32		26
33		16
34		20
35		27
36		23
37		27
38		32
39		28
40		31
41		47
42		43
43		46
44		46
45		42
46		52
47		56
48		64
49		61
50		60
51		62
52		58
53		58
54		52
55		70
56		70
57		52
58		83
59		73
60		77
61		71
62		66
63		66
64		71
65		68
66		78
67		59
68		65
69		59
70		42
71		39
72		55
73		48
74		40
75		43
76		34
77		29
78		34
79		39
80		22
81		33
82		31
83		32
84		29
85		30
86		26
87		16
88		19
89		20
90		18
91		16
92		18
93		27
94		16
95		26
96		20
97		16
98		14
99		15
100		17
101		22
102		18
103		17
104		17
105		8
106		18
107		13
108		20
109		19
110		16
111		19
112		21
113		10
114		18
115		12
116		16
117		18
118		25
119		26
120		20
121		13
122		19
123		17
124		18
125		22
126		16
127		19
128		14
129		28
130		14
131		16
132		18
133		21
134		35
135		21
136		19
137		19
138		31
139		16
140		25
141		14
142		19
143		18
144		21
145		26
146		15
147		22
148		23
149		20
150		25
151		26
152		24
153		14
154		20
155		17
156		16
157		17
158		18
159		12
160		31
161		22
162		17
163		22
164		20
165		27
166		19
167		19
168		19
169		31
170		29
171		26
172		34
173		38
174		42
175		46
176		54
177		59
178		65
179		81
180		93
181		92
182		120
183		127
184		162
185		173
186		185
187		226
188		279
189		289
190		306
191		331
192		408
193		439
194		510
195		592
196		599
197		746
198		773
199		825
200		864
201		929
202		957
203		1063
204		1153
205		1190
206		1311
207		1319
208		1474
209		1490
210		1524
211		1518
212		1604
213		1720
214		1739
215		1873
216		1797
217		1914
218		1889
219		1919
220		1905
221		1901
222		1895
223		1908
224		1923
225		1836
226		1831
227		1850
228		1850
229		1650
230		1723
231		1675
232		1641
233		1554
234		1452
235		1501
236		1418
237		1361
238		1310
239		1244
240		1178
241		1067
242		1095
243		1083
244		991
245		919
246		887
247		827
248		784
249		736
250		758
251		647
252		612
253		529
254		521
255		524
256		502
257		461
258		453
259		415
260		373
261		355
262		315
263		285
264		327
265		336
266		285
267		250
268		263
269		267
270		250
271		240
272		197
273		231
274		218
275		238
276		200
277		211
278		213
279		212
280		171
281		210
282		206
283		218
284		221
285		195
286		230
287		233
288		219
289		247
290		249
291		234
292		236
293		244
294		220
295		263
296		268
297		235
298		230
299		237
300		240
301		265
302		248
303		229
304		246
305		265
306		260
307		218
308		273
309		242
310		240
311		232
312		232
313		216
314		228
315		207
316		260
317		222
318		218
319		213
320		220
321		211
322		189
323		175
324		200
325		194
326		190
327		164
328		182
329		166
330		178
331		173
332		157
333		166
334		156
335		143
336		145
337		158
338		144
339		145
340		131
341		154
342		122
343		143
344		115
345		106
346		114
347		138
348		102
349		127
350		114
351		112
352		103
353		96
354		111
355		112
356		102
357		95
358		99
359		100
360		81
361		90
362		77
363		78
364		107
365		94
366		78
367		87
368		87
369		108
370		76
371		86
372		86
373		73
374		98
375		90
376		85
377		77
378		91
379		94
380		89
381		100
382		101
383		105
384		103
385		104
386		85
387		91
388		106
389		97
390		108
391		103
392		95
393		91
394		96
395		88
396		104
397		83
398		90
399		99
400		87
401		120
402		102
403		103
404		108
405		88
406		108
407		108
408		107
409		117
410		121
411		109
412		126
413		108
414		105
415		103
416		115
417		89
418		109
419		116
420		105
421		98
422		128
423		99
424		106
425		111
426		89
427		93
428		108
429		120
430		121
431		145
432		102
433		121
434		109
435		122
436		126
437		108
438		148
439		116
440		113
441		115
442		125
443		114
444		125
445		123
446		153
447		152
448		134
449		118
450		123
451		121
452		107
453		141
454		124
455		148
456		120
457		132
458		142
459		129
460		120
