Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	176.92
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 05:14:09
End Time:	February 08, 2024, 05:17:06
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		1
14		2
15		22
16		2
17		0
18		58
19		725
20		66
21		8
22		9
23		9
24		14
25		11
26		7
27		11
28		10
29		11
30		12
31		15
32		10
33		8
34		11
35		12
36		15
37		6
38		9
39		4
40		8
41		5
42		6
43		7
44		14
45		8
46		9
47		12
48		6
49		9
50		11
51		11
52		9
53		11
54		12
55		5
56		7
57		10
58		9
59		7
60		11
61		13
62		11
63		8
64		13
65		12
66		7
67		11
68		11
69		9
70		9
71		10
72		11
73		11
74		14
75		21
76		17
77		12
78		10
79		12
80		25
81		11
82		20
83		13
84		19
85		20
86		17
87		34
88		29
89		21
90		30
91		32
92		27
93		41
94		28
95		43
96		44
97		50
98		49
99		55
100		64
101		63
102		60
103		47
104		55
105		59
106		66
107		76
108		76
109		72
110		73
111		94
112		86
113		70
114		84
115		86
116		83
117		94
118		102
119		77
120		93
121		93
122		81
123		91
124		96
125		63
126		73
127		73
128		68
129		70
130		74
131		74
132		79
133		69
134		80
135		81
136		51
137		88
138		80
139		51
140		49
141		33
142		60
143		45
144		44
145		57
146		38
147		48
148		32
149		46
150		44
151		32
152		40
153		27
154		36
155		29
156		34
157		28
158		26
159		29
160		35
161		25
162		33
163		27
164		31
165		28
166		28
167		29
168		20
169		32
170		20
171		18
172		21
173		21
174		32
175		26
176		16
177		23
178		30
179		17
180		20
181		21
182		20
183		16
184		24
185		15
186		24
187		23
188		12
189		27
190		13
191		22
192		11
193		17
194		24
195		18
196		30
197		26
198		25
199		26
200		27
201		17
202		23
203		25
204		18
205		19
206		25
207		20
208		28
209		31
210		33
211		35
212		28
213		26
214		29
215		30
216		29
217		32
218		53
219		44
220		64
221		63
222		68
223		59
224		89
225		52
226		82
227		88
228		115
229		136
230		133
231		153
232		135
233		172
234		212
235		245
236		257
237		288
238		351
239		371
240		410
241		425
242		532
243		525
244		594
245		668
246		704
247		800
248		842
249		944
250		1030
251		1075
252		1203
253		1293
254		1317
255		1488
256		1567
257		1575
258		1726
259		1823
260		1906
261		2000
262		2118
263		2229
264		2368
265		2417
266		2475
267		2562
268		2626
269		2636
270		2807
271		2864
272		2917
273		2910
274		2973
275		3006
276		3046
277		3103
278		3050
279		3094
280		3074
281		2974
282		3066
283		3021
284		3024
285		2935
286		2984
287		2840
288		2906
289		2816
290		2807
291		2770
292		2668
293		2593
294		2668
295		2510
296		2458
297		2376
298		2383
299		2248
300		2248
301		2147
302		2110
303		2023
304		1997
305		1866
306		1840
307		1715
308		1687
309		1571
310		1491
311		1561
312		1449
313		1428
314		1416
315		1269
316		1234
317		1145
318		1075
319		1082
320		1000
321		932
322		871
323		882
324		805
325		802
326		738
327		698
328		674
329		611
330		622
331		561
332		566
333		547
334		478
335		470
336		430
337		405
338		403
339		365
340		363
341		318
342		294
343		286
344		276
345		262
346		267
347		235
348		211
349		192
350		172
351		175
352		162
353		156
354		142
355		137
356		136
357		147
358		123
359		97
360		135
361		109
362		109
363		106
364		98
365		81
366		71
367		91
368		92
369		88
370		85
371		70
372		75
373		73
374		72
375		73
376		57
377		78
378		68
379		82
380		69
381		58
382		66
383		62
384		58
385		44
386		42
387		67
388		63
389		73
390		52
391		52
392		57
393		68
394		51
395		68
396		64
397		59
398		68
399		75
400		61
401		77
402		70
403		65
404		53
405		63
406		72
407		49
408		65
409		59
410		83
411		54
412		74
413		81
414		87
415		61
416		73
417		64
418		66
419		64
420		79
421		71
422		82
423		80
424		81
425		74
426		70
427		59
428		66
429		76
430		80
431		90
432		76
433		68
434		64
435		82
436		74
437		85
438		71
439		91
440		80
441		87
442		81
443		82
444		76
445		79
446		79
447		85
448		80
449		79
450		87
451		84
452		80
