Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	174.35
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 05:01:37
End Time:	February 08, 2024, 05:04:31
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		1
12		1
13		4
14		2
15		4
16		0
17		0
18		62
19		305
20		84
21		65
22		71
23		75
24		84
25		96
26		88
27		89
28		94
29		80
30		67
31		88
32		77
33		65
34		59
35		48
36		63
37		55
38		60
39		39
40		36
41		27
42		26
43		21
44		34
45		26
46		21
47		30
48		30
49		24
50		30
51		23
52		21
53		15
54		19
55		15
56		19
57		26
58		17
59		25
60		19
61		14
62		20
63		10
64		9
65		7
66		9
67		10
68		9
69		13
70		14
71		9
72		15
73		8
74		9
75		7
76		10
77		10
78		6
79		11
80		13
81		8
82		12
83		10
84		10
85		9
86		8
87		6
88		12
89		12
90		12
91		8
92		17
93		8
94		19
95		11
96		16
97		9
98		11
99		21
100		19
101		13
102		17
103		11
104		12
105		15
106		20
107		21
108		15
109		10
110		12
111		17
112		8
113		13
114		21
115		12
116		13
117		21
118		20
119		12
120		17
121		15
122		13
123		14
124		23
125		15
126		15
127		10
128		18
129		19
130		16
131		19
132		21
133		16
134		21
135		20
136		24
137		31
138		22
139		33
140		34
141		26
142		35
143		46
144		31
145		48
146		72
147		74
148		94
149		100
150		109
151		93
152		136
153		165
154		193
155		216
156		288
157		321
158		354
159		364
160		430
161		487
162		542
163		599
164		673
165		736
166		816
167		909
168		993
169		1032
170		1182
171		1260
172		1258
173		1421
174		1474
175		1569
176		1698
177		1763
178		1833
179		1835
180		1901
181		1904
182		2044
183		2088
184		2099
185		2103
186		2111
187		2010
188		2015
189		2051
190		2068
191		2005
192		1956
193		1973
194		1858
195		1817
196		1797
197		1614
198		1731
199		1600
200		1497
201		1433
202		1440
203		1389
204		1339
205		1207
206		1128
207		1034
208		978
209		917
210		880
211		786
212		759
213		737
214		616
215		589
216		557
217		516
218		500
219		427
220		416
221		372
222		344
223		314
224		263
225		242
226		222
227		198
228		164
229		173
230		164
231		137
232		118
233		84
234		109
235		105
236		86
237		85
238		73
239		57
240		60
241		47
242		50
243		55
244		38
245		36
246		36
247		51
248		35
249		43
250		34
251		26
252		35
253		22
254		25
255		38
256		33
257		33
258		51
259		38
260		41
261		51
262		54
263		74
264		55
265		76
266		63
267		63
268		79
269		73
270		89
271		107
272		96
273		92
274		108
275		128
276		105
277		138
278		132
279		146
280		150
281		152
282		171
283		166
284		184
285		187
286		198
287		188
288		221
289		226
290		236
291		217
292		217
293		234
294		230
295		241
296		233
297		273
298		238
299		271
300		261
301		258
302		273
303		251
304		261
305		264
306		271
307		242
308		245
309		247
310		256
311		274
312		265
313		232
314		255
315		248
316		232
317		220
318		230
319		214
320		197
321		193
322		214
323		194
324		195
325		190
326		200
327		154
328		192
329		158
330		167
331		165
332		193
333		177
334		150
335		164
336		174
337		126
338		155
339		135
340		137
341		120
342		126
343		116
344		142
345		138
346		111
347		110
348		115
349		91
350		122
351		96
352		92
353		92
354		94
355		83
356		82
357		89
358		82
359		95
360		69
361		74
362		70
363		92
364		89
365		80
366		67
367		79
368		68
369		62
370		73
371		69
372		57
373		60
374		61
375		76
376		70
377		74
378		71
379		80
380		81
381		66
382		77
383		71
384		67
385		57
386		72
387		63
388		63
389		71
390		78
391		66
392		76
393		75
394		57
395		84
396		63
397		61
398		56
399		57
400		76
401		74
402		81
403		76
404		83
405		75
406		67
407		64
408		60
409		71
410		65
411		67
412		71
413		83
414		83
415		77
416		87
417		82
418		79
419		56
420		72
421		95
422		79
423		81
424		67
425		77
426		73
427		97
428		89
429		87
430		84
431		75
432		81
433		84
434		84
435		92
436		85
437		80
438		102
439		93
440		84
441		78
442		80
443		79
444		84
445		111
446		79
447		77
448		111
449		104
450		89
451		101
452		93
453		119
454		90
455		93
456		102
457		107
458		115
459		96
460		100
