Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	177.2
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 05:06:04
End Time:	February 08, 2024, 05:09:01
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		4
13		1
14		0
15		20
16		5
17		0
18		32
19		639
20		79
21		9
22		3
23		13
24		6
25		12
26		10
27		2
28		10
29		4
30		9
31		9
32		5
33		8
34		10
35		6
36		6
37		7
38		4
39		9
40		8
41		7
42		11
43		4
44		10
45		12
46		7
47		3
48		9
49		4
50		12
51		8
52		9
53		12
54		6
55		8
56		7
57		8
58		6
59		9
60		8
61		3
62		7
63		4
64		8
65		6
66		7
67		7
68		10
69		4
70		13
71		8
72		10
73		5
74		6
75		7
76		5
77		6
78		7
79		8
80		6
81		12
82		6
83		9
84		3
85		7
86		4
87		9
88		6
89		3
90		7
91		10
92		5
93		7
94		9
95		6
96		13
97		7
98		10
99		11
100		13
101		7
102		9
103		9
104		14
105		12
106		9
107		14
108		16
109		17
110		18
111		9
112		8
113		11
114		11
115		15
116		11
117		18
118		19
119		18
120		15
121		22
122		15
123		13
124		16
125		16
126		19
127		20
128		28
129		24
130		17
131		29
132		27
133		22
134		34
135		28
136		29
137		35
138		33
139		38
140		28
141		31
142		37
143		33
144		46
145		37
146		46
147		50
148		60
149		56
150		64
151		66
152		66
153		52
154		70
155		59
156		60
157		60
158		76
159		66
160		68
161		58
162		65
163		63
164		68
165		67
166		69
167		63
168		64
169		70
170		63
171		72
172		72
173		72
174		65
175		57
176		49
177		60
178		55
179		47
180		43
181		54
182		46
183		50
184		57
185		41
186		43
187		50
188		37
189		48
190		42
191		47
192		32
193		34
194		25
195		32
196		40
197		32
198		15
199		33
200		40
201		34
202		28
203		37
204		27
205		33
206		19
207		24
208		27
209		23
210		36
211		25
212		27
213		26
214		26
215		15
216		22
217		28
218		21
219		33
220		42
221		26
222		30
223		25
224		40
225		41
226		38
227		20
228		32
229		31
230		29
231		34
232		35
233		32
234		37
235		36
236		29
237		33
238		33
239		39
240		48
241		35
242		34
243		32
244		45
245		46
246		41
247		51
248		51
249		50
250		48
251		66
252		59
253		56
254		71
255		73
256		73
257		59
258		96
259		87
260		104
261		83
262		98
263		125
264		153
265		147
266		152
267		194
268		177
269		221
270		217
271		221
272		233
273		238
274		294
275		316
276		341
277		349
278		415
279		444
280		484
281		522
282		546
283		570
284		654
285		624
286		664
287		767
288		808
289		925
290		974
291		994
292		1099
293		1149
294		1193
295		1255
296		1330
297		1356
298		1435
299		1504
300		1667
301		1597
302		1721
303		1831
304		1802
305		1889
306		1970
307		2065
308		2149
309		2077
310		2172
311		2168
312		2311
313		2401
314		2334
315		2481
316		2401
317		2446
318		2502
319		2452
320		2536
321		2508
322		2487
323		2473
324		2535
325		2543
326		2444
327		2460
328		2382
329		2417
330		2407
331		2365
332		2326
333		2326
334		2317
335		2238
336		2148
337		2210
338		2082
339		2079
340		2011
341		1949
342		1871
343		1860
344		1888
345		1799
346		1677
347		1699
348		1602
349		1509
350		1506
351		1445
352		1396
353		1400
354		1331
355		1300
356		1225
357		1146
358		1151
359		1062
360		1006
361		1023
362		1004
363		928
364		872
365		865
366		785
367		779
368		776
369		766
370		706
371		655
372		613
373		575
374		523
375		517
376		523
377		480
378		463
379		448
380		394
381		360
382		368
383		339
384		362
385		310
386		297
387		313
388		271
389		280
390		276
391		223
392		236
393		235
394		201
395		188
396		191
397		185
398		175
399		169
400		152
401		120
402		149
403		131
404		167
405		115
406		127
407		126
408		115
409		111
410		99
411		115
412		102
413		97
414		107
415		92
416		91
417		89
418		88
419		89
420		84
421		96
422		80
423		95
424		87
425		80
426		84
427		75
428		80
429		75
430		88
431		83
432		81
433		94
434		62
435		82
436		72
437		74
438		78
439		77
440		90
441		81
442		93
443		84
444		82
445		79
446		93
447		98
448		70
449		79
450		82
451		91
452		81
